"Name / Clip Identifier","Type","Flag","Camera","TC Start","Duration","Scene","Shot","Take","CDL Nodes (SOP)","Focal Length","Aperture","ND","Filter","EI/ISO","Shutter Angle","White Balance","Tint","FPS","Sensor FPS","Lens Model","Look Modified Date","Create Date","Look Name","Grading Mode","LUT Nodes","SAT Nodes","TC End","Output Colorspace","Linked Slots","QC Remark","Location","Int/Ext","Day/Night","Comment","Shooting Day","Absolute Path"
"A013C001 2","Movie",,"A","12:05:56.13","178","5A","3","1","(0.7974 0.7889 0.7585) (0.0124 -0.0029 -0.0148) (0.9759 0.9759 0.9759);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:08:54Z","2022-06-09T02:08:54Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:08:54.04",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001 2.mov"
"A013C003","Movie",,"A","12:13:38.20","166","5A","3","2","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:16:25Z","2022-06-09T02:16:25Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:16:24.23",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003.mov"
"A013C003 1","Movie",,"A","12:19:03.17","19","5A","3","3fr","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:19:23Z","2022-06-09T02:19:23Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:19:23.03",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 1.mov"
"A013C003 2","Movie",,"A","12:19:38.01","171","5A","3","3","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:22:29Z","2022-06-09T02:22:29Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:22:28.18",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 2.mov"
"A013C003 3","Movie",,"A","12:32:38.14","6","5B","3","rhr","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:32:44Z","2022-06-09T02:32:44Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:32:44.14",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 3.mov"
"A013C003 4","Movie",,"A","12:34:58.05","10","5B","3","rhr","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:35:08Z","2022-06-09T02:35:08Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:35:08.06",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 4.mov"
"A013C003 5","Movie",,"A","12:35:54.06","312","5B","3","1","(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:41:06Z","2022-06-09T02:41:06Z","rrr","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:41:06.14",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 5.mov"
"A014C002","Movie",,"A","12:52:44.09","193","5C","3","1","(0.7786 0.7496 0.7246) (0.0049 -0.0145 -0.0276) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:55:57Z","2022-06-09T02:55:57Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:55:57.10",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002.mov"
"A014C002 1","Movie",,"A","13:04:09.23","48","5D","3","rhr","(0.7606 0.7316 0.7067) (0.0049 -0.0045 -0.0276) (0.9504 0.9388 0.9947);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:04:58Z","2022-06-09T03:04:58Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:04:58.10",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 1.mov"
"A014C002","Movie",,"A","13:08:30.10","23","5D","3","1","(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:08:54Z","2022-06-09T03:08:54Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:08:53.21",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 2.mov"
