"Name / Clip Identifier","Type","Flag","Camera","TC Start","Duration","Scene","Shot","Take","CDL Nodes (SOP)","Focal Length","Aperture","ND","Filter","EI/ISO","Shutter Angle","White Balance","Tint","FPS","Sensor FPS","Lens Model","Look Modified Date","Create Date","Look Name","Grading Mode","LUT Nodes","SAT Nodes","TC End","Output Colorspace","Linked Slots","QC Remark","Location","Int/Ext","Day/Night","Comment","Shooting Day","Absolute Path"
"A017C001","Movie",,"A","16:51:31.03","148","7B","3","3","(0.7460 0.7170 0.6920) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:53:59Z","2022-06-09T06:53:59Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:53:59.08",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C009 1.mov"
"A017C002","Still",,"A","17:00:43.18",,"7C","3","1","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T07:00:43Z","2022-06-09T07:00:43Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)",,,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/StillImages/UltraStudio Recorder 3G 1.tiff"
"A017C002 1","Movie",,"A","17:02:40.04","128","7C","3","1","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T07:04:47Z","2022-06-09T07:04:47Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:04:47.22",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A017C002 1.mov"
"A017C002 2","Movie",,"A","17:04:49.13","70","7C","3","1","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T07:05:59Z","2022-06-09T07:05:59Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:05:59.16",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A017C002 2.mov"
"A017C002 3","Still",,"A","17:14:17.06",,"7D","3","rhr","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T07:14:17Z","2022-06-09T07:14:17Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)",,,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/StillImages/UltraStudio Recorder 3G 2.tiff"
"A017C003","Movie",,"A","17:19:58.11","44","7D","3","1","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T07:20:42Z","2022-06-09T07:20:42Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:20:42.01",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A017C003.mov"
"A017C004","Movie",,"A","17:20:57.23","90","7D","3","2","(0.8017 0.7727 0.7477) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T07:22:27Z","2022-06-09T07:22:27Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:22:27.15",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A017C004.mov"
"A018C001","Movie",,"A","17:32:23.00","58","7E","3","1","(0.7512 0.7223 0.6973) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T07:33:21Z","2022-06-09T07:33:21Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:33:21.03",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A018C001.mov"
"A018C002","Movie",,"A","17:36:21.08","45","7","7E","2","(0.7512 0.7223 0.6973) (-0.0188 -0.0282 -0.0513) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T07:37:06Z","2022-06-09T07:37:06Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","17:37:06.18",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A018C002.mov"
"test cdl combined","Look",,"A",,,"7E","3","2","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"400","172.8°","5600 K",,,,,"2022-06-18T21:48:22Z","2022-06-18T21:48:22Z","New Look 1","CDL and LUT",,"(1.000)",,,,,"HOUSE","INT","AFTERNOON",,"SD03",
"test cdl combined actual combined","Look",,"A",,,"7E","3","2","(1.0904 0.9810 0.9222) (0.0734 0.0000 -0.0558) (0.9135 1.0170 1.0867);(0.9610 1.0044 1.0713) (-0.0159 0.0077 -0.0295) (0.9674 1.0155 0.9422)","40 mm","2.8",,,"400","172.8°","5600 K",,,,,"2022-06-18T21:51:05Z","2022-06-18T21:51:05Z","New Look 1 (modified)","CDL Advanced",,"(1.000)",,,,,"HOUSE","INT","AFTERNOON",,"SD03",
"cdl3+4","Look",,"A",,,"7E","3","2","(0.7971 0.7971 0.7971) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151);(1.0479 0.9853 0.9879) (0.0575 0.0077 -0.0853) (0.8837 1.0328 1.0238)","40 mm","2.8",,,"400","172.8°","5600 K",,,,,"2022-06-18T22:53:53Z","2022-06-18T22:53:53Z","New Look 1 (modified)","CDL Advanced",,"(1.000)",,,,,"HOUSE","INT","AFTERNOON",,"SD03",
