2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,08:51:19.00,SD22-A1: A89T01,,08:49:14.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C001_210430IF,S-Gamut3.Cine/S-Log3,,,,,,,,08:51:10:12,,,F009C001_210430IF.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89,,001,,0.02002315,,SD22-A1,08:49:22:16,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:56:07.00,SD22-A1: A89T02,,08:54:03.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C002_2104303X,S-Gamut3.Cine/S-Log3,,,,,,,,08:56:23:16,,,F009C002_2104303X.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89,,002,,0.02002315,,SD22-A1,08:54:12:08,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:59:33.00,SD22-A1: A89T03,,08:57:25.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C003_2104306D,S-Gamut3.Cine/S-Log3,,,,,,,,08:59:27:20,,,F009C003_2104306D.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89,,003,,0.02002315,,SD22-A1,08:57:33:20,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,09:26:06.00,SD22-A1: A89AT01,,09:24:05.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C004_210430UZ,S-Gamut3.Cine/S-Log3,,,,,,,,09:26:08:13,,,F009C004_210430UZ.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89A,,004,,0.02002315,,SD22-A1,09:24:16:13,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,09:30:09.00,SD22-A1: A89AT02,,09:27:36.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C005_21043094,S-Gamut3.Cine/S-Log3,,,,,,,,09:29:47:05,,,F009C005_21043094.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89A,,005,,0.02002315,,SD22-A1,09:27:34:13,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,09:33:43.00,SD22-A1: A89AT03,,09:31:06.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),F,T4 1/3,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/F009/F009CP2Z/Clip/F009C006_2104302H,S-Gamut3.Cine/S-Log3,,,,,,,,09:33:27:21,,,F009C006_2104302H.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,009,4096x3024,,A89A,,006,,0.02002315,,SD22-A1,09:31:18:21,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
