2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,17:14:59.00,SD26-A2: E128ET01,,17:11:33.00,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C001_2105069H,S-Gamut3.Cine/S-Log3,,,,,,,,17:14:54:20,,,A056C001_2105069H.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,E128E,,001,,0.02002315,,SD26-A2,17:11:35:12,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,17:23:49.00,SD26-A2: E128ET02,,17:20:14.00,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C002_210506SM,S-Gamut3.Cine/S-Log3,,,,,,,,17:23:42:08,,,A056C002_210506SM.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,E128E,,002,,0.02002315,,SD26-A2,17:20:18:08,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,17:31:33.00,SD26-A2: E128FT01,,17:28:02.00,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C003_210506JR,S-Gamut3.Cine/S-Log3,,,,,,,,17:31:24:16,,,A056C003_210506JR.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,E128F,,003,,0.02002315,,SD26-A2,17:28:06:00,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,17:41:37.00,SD26-A2: E128FT02,,17:37:55.00,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C004_210506T4,S-Gamut3.Cine/S-Log3,,,,,,,,17:41:08:04,,,A056C004_210506T4.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,E128F,,004,,0.02002315,,SD26-A2,17:37:50:16,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,17:54:27.00,SD26-A2: E128FT03,,17:51:03.00,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C005_2105063U,S-Gamut3.Cine/S-Log3,,,,,,,,17:54:21:20,,,A056C005_2105063U.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,E128F,,005,,0.02002315,,SD26-A2,17:51:15:16,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,,,,,1.0000,(1.1707 1.1662 1.1707) (-0.0870 -0.0825 -0.0870) (1.0000 1.0000 1.0000),A,,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C006_210506R3,S-Gamut3.Cine/S-Log3,,,,,,,,18:14:38:16,,,A056C006_210506R3.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,,,006,,0.02002315,,,18:12:19:16,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),A,T5.6,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C007_210506OG,S-Gamut3.Cine/S-Log3,,,,,,,,18:17:26:00,,,A056C007_210506OG.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,107,,007,,0.02002315,,,18:15:17:20,2 slate,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),A,,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C008_210506L2,S-Gamut3.Cine/S-Log3,,,,,,,,18:19:00:20,,,A056C008_210506L2.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,,,008,,0.02002315,,,18:18:06:16,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,18:49:58.00,SD26-A2: 107T01,,18:49:13.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),A,,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C009_210506K7,S-Gamut3.Cine/S-Log3,,,,,,,,18:49:46:03,,,A056C009_210506K7.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,107,,009,,0.02002315,,SD26-A2,18:49:15:15,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,18:50:41.00,SD26-A2: 107T02,,18:49:59.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),A,T5.6,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210506_SD26/Camera_Media/A056/A056CLDF/Clip/A056C010_210506UG,S-Gamut3.Cine/S-Log3,,,,,,,,18:50:35:11,,,A056C010_210506UG.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,056,4096x3024,,107,,010,,0.02002315,,SD26-A2,18:50:07:15,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
