2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C001_210514LJ,S-Gamut3.Cine/S-Log3,,,,,,,,08:21:22:16,,,B073C001_210514LJ.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,001,,0.02002315,,,08:20:32:16,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C002_2105149D,S-Gamut3.Cine/S-Log3,,,,,,,,08:22:42:08,,,B073C002_2105149D.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,002,,0.02002315,,,08:22:14:08,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C003_210514ZW,S-Gamut3.Cine/S-Log3,,,,,,,,08:23:51:20,,,B073C003_210514ZW.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,003,,0.02002315,,,08:23:14:16,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C004_210514X5,S-Gamut3.Cine/S-Log3,,,,,,,,08:28:22:08,,,B073C004_210514X5.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,004,,0.02002315,,,08:27:59:00,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C005_210514WA,S-Gamut3.Cine/S-Log3,,,,,,,,08:31:04:12,,,B073C005_210514WA.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,005,,0.02002315,,,08:30:18:20,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C006_2105142W,S-Gamut3.Cine/S-Log3,,,,,,,,08:33:35:20,,,B073C006_2105142W.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,006,,0.02002315,,,08:32:44:08,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C007_2105140N,S-Gamut3.Cine/S-Log3,,,,,,,,08:38:09:12,,,B073C007_2105140N.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,007,,0.02002315,,,08:36:55:08,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C008_2105145T,S-Gamut3.Cine/S-Log3,,,,,,,,08:38:15:16,,,B073C008_2105145T.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,008,,0.02002315,,,08:38:13:08,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,08:40:33.00,SD32-A1: 138T02,,08:39:06.00,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C009_210514LK,S-Gamut3.Cine/S-Log3,,,,,,,,08:39:48:08,,,B073C009_210514LK.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,138,,009,,0.02002315,,SD32-A1,08:38:46:00,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:45:14.00 08:43:53.00,SD32-A1: 138T04 SD32-A1: 138T03,,08:43:53.00 08:41:51.00,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C010_210514ZU,S-Gamut3.Cine/S-Log3,,,,,,,,08:44:07:08,,,B073C010_210514ZU.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,138,,010,,0.02002315,,SD32-A1SD32-A1,08:43:34:16,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:47:53.00 08:47:04.00,SD32-A1: 138T06 SD32-A1: 138AT01,,08:47:16.00 08:46:10.00,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C011_210514GX,S-Gamut3.Cine/S-Log3,,,,,,,,08:47:42:16,,,B073C011_210514GX.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,138A,,011,,0.02002315,,SD32-A1SD32-A1,08:46:44:04,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C012_210514DF,S-Gamut3.Cine/S-Log3,,,,,,,,08:49:18:20,,,B073C012_210514DF.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,012,,0.02002315,,,08:48:49:00,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0072 -0.0028 -0.0072) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/B073/B073C71E/Clip/B073C013_210514DE,S-Gamut3.Cine/S-Log3,,,,,,,,08:54:34:08,,,B073C013_210514DE.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,073,4096x3024,,,,013,,0.02002315,,,08:52:19:16,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
