2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,08:36:13.00,SD32-A1: 138T01,,08:34:22.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C001_210514BD,S-Gamut3.Cine/S-Log3,,,,,,,,08:35:55:21,,,A066C001_210514BD.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138,,001,,0.02002315,,SD32-A1,08:34:35:13,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,08:40:33.00,SD32-A1: 138T02,,08:39:06.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 1/2,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C002_210514DR,S-Gamut3.Cine/S-Log3,,,,,,,,08:40:30:21,,,A066C002_210514DR.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138,,002,,0.02002315,,SD32-A1,08:39:10:01,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,08:43:53.00,SD32-A1: 138T03,,08:41:51.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 1/2,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C003_210514EW,S-Gamut3.Cine/S-Log3,,,,,,,,08:43:20:13,,,A066C003_210514EW.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138,,003,,0.02002315,,SD32-A1,08:41:59:01,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,08:45:14.00 08:43:53.00,SD32-A1: 138T04 SD32-A1: 138T03,,08:43:53.00 08:41:51.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 1/2,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C004_21051426,S-Gamut3.Cine/S-Log3,,,,,,,,08:45:12:01,,,A066C004_21051426.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138,,004,,0.02002315,,SD32-A1SD32-A1,08:43:45:21,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,08:47:04.00,SD32-A1: 138AT01,,08:46:10.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 1/2,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C005_210514QL,S-Gamut3.Cine/S-Log3,,,,,,,,08:46:59:09,,,A066C005_210514QL.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138A,,005,,0.02002315,,SD32-A1,08:46:05:21,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,08:47:53.00,SD32-A1: 138T06,,08:47:16.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C006_210514R6,S-Gamut3.Cine/S-Log3,,,,,,,,08:47:37:05,,,A066C006_210514R6.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,138,,006,,0.02002315,,SD32-A1,08:47:19:17,06,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,09:00:00.00,SD32-A1: 145T01,,08:59:08.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C007_210514I7,S-Gamut3.Cine/S-Log3,,,,,,,,08:59:47:05,,,A066C007_210514I7.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,145,,007,,0.02002315,,SD32-A1,08:59:14:13,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,09:00:00.00 09:00:48.23,SD32-A1: 145T01 SD32-A1: 145T02,,08:59:08.00 09:00:00.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C008_210514WH,S-Gamut3.Cine/S-Log3,,,,,,,,09:00:37:05,,,A066C008_210514WH.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,145,,008,,0.02002315,,SD32-A1SD32-A1,08:59:55:13,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,09:01:39.00,SD32-A1: 145T03,,09:00:51.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C009_210514EC,S-Gamut3.Cine/S-Log3,,,,,,,,09:01:40:09,,,A066C009_210514EC.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,145,,009,,0.02002315,,SD32-A1,09:00:57:05,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,10:09:22.00,SD32-A1: 153T01,,10:08:33.00,1.0000,(1.3227 1.1431 1.0521) (-0.1468 -0.0748 -0.0066) (1.0148 0.9859 1.0961),A,T4 1/2,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210514_SD32/Camera_Media/A066/A066CVMS/Clip/A066C010_210514EI,S-Gamut3.Cine/S-Log3,,,,,,,,10:09:12:22,,,A066C010_210514EI.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,066,4096x3024,,153,,010,,0.02002315,,SD32-A1,10:08:37:22,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
