2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,,,,,1.0000,(1.1477 1.1326 1.1477) (-0.0793 -0.0642 -0.0793) (1.0000 1.0000 1.0000),J,T5.6 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210513_2U_SDX9/Camera_Media/J016/J016C0FQ/Clip/J016C001_2105119V,S-Gamut3.Cine/S-Log3,,,,,,,,20:13:27:00,,,J016C001_2105119V.mxf,ND .3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,016,4096x3024,,X175,,001,,0.02002315,,,20:12:34:08,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1477 1.1326 1.1477) (-0.0793 -0.0642 -0.0793) (1.0000 1.0000 1.0000),J,T5.6 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210513_2U_SDX9/Camera_Media/J016/J016C0FQ/Clip/J016C002_210511UF,S-Gamut3.Cine/S-Log3,,,,,,,,20:17:04:20,,,J016C002_210511UF.mxf,ND .3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,016,4096x3024,,X175,,002,,0.02002315,,,20:14:09:20,Series,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1477 1.1326 1.1477) (-0.0793 -0.0642 -0.0793) (1.0000 1.0000 1.0000),J,,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210513_2U_SDX9/Camera_Media/J016/J016C0FQ/Clip/J016C003_210511ZU,S-Gamut3.Cine/S-Log3,,,,,,,,20:23:11:08,,,J016C003_210511ZU.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,016,4096x3024,,,,003,,0.02002315,,,20:23:08:20,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
